%time,field.x,field.y,field.theta
1619860763592051982,1.50991077271,0.0872067498541,0.141150064744
1619860763632941961,1.55717083758,0.0948778946014,0.159683831603
1619860763678131103,1.6066957901,0.10297643754,0.179418045613
1619860763716936111,1.63106281381,0.106983693568,0.189346578245
1619860763720943927,1.65642419661,0.112126432878,0.198593822374
1619860763765050888,1.68053749129,0.118138970216,0.208231578477
1619860763807044029,1.72774641859,0.128198705267,0.227664025646
1619860763852221012,1.7515048255,0.132433763495,0.237257501711
1619860763854940891,1.77689260863,0.140539761062,0.246755003743
1619860763889981985,1.80012677706,0.145853289803,0.255626681274
1619860763933906078,1.85041253506,0.159182397156,0.274127250579
1619860763978172063,1.89883316328,0.172595423703,0.292098416887
1619860764022058010,1.9226621781,0.180398300232,0.301090040109
1619860764032949924,1.94597423051,0.188664824429,0.309587339092
1619860764072905063,1.96882664573,0.196685023321,0.318216749026
1619860764112926006,1.99057196891,0.203943952571,0.326849997619
1619860764154174089,2.03792198174,0.221114091994,0.34591286199
1619860764199964046,2.08567191524,0.238428291276,0.366250297928
1619860764240923881,2.13028810934,0.254791298618,0.384707904164
1619860764288197040,2.17652644011,0.274104818817,0.404432506435
1619860764328991889,2.22082346823,0.295019546277,0.423624467923
1619860764371027946,2.24575917317,0.305270224154,0.43350388976
1619860764374008893,2.26597333486,0.316982703881,0.442651227682
1619860764412997007,2.28873876809,0.324735628458,0.452355979414
1619860764453178882,2.33309774679,0.349070906073,0.471259238361
1619860764489938020,2.35583699697,0.361361018512,0.480121179685
1619860764500942945,2.37699967072,0.371593353207,0.489429576105
1619860764543862104,2.40138423279,0.385708824299,0.499014105863
1619860764584966897,2.44292995412,0.40856837065,0.516369721219
1619860764628021001,2.46472038202,0.422166468233,0.524437068772
1619860764639004945,2.48541922984,0.433498488682,0.532694844194
1619860764677936077,2.52669278935,0.459297685174,0.548455604978
1619860764720005035,2.54995731584,0.473973196891,0.557173966589
1619860764723999023,2.56962724834,0.488134504982,0.565719310969
1619860764765259981,2.59419226908,0.503869047184,0.577131757257
1619860764794872999,2.61595358531,0.516272633685,0.586987373185
1619860764807905912,2.63688577988,0.530058478638,0.597130389627
1619860764843034029,2.65678994374,0.543594422358,0.606312938371
1619860764896063089,2.69849865353,0.572524996677,0.625490819463
1619860764944972991,2.73703964629,0.603437164507,0.644880562573
1619860764984008073,2.75669192287,0.618038802716,0.654493105738
1619860764993877887,2.77550003908,0.633671253748,0.663513052285
1619860765033941984,2.81573769546,0.663476832264,0.683363851045
1619860765075006008,2.83576757252,0.680509033938,0.692553706895
1619860765079879045,2.85491980506,0.697933211874,0.701478931416
1619860765126960992,2.87381870586,0.714051687955,0.711086655534
1619860765170929908,2.91279935096,0.745730575401,0.728841687985
1619860765218899965,2.9504333147,0.780476381077,0.745827253
1619860765267005920,2.98656223822,0.813693955117,0.761105894414
1619860765310026884,3.02471543928,0.849705731835,0.77819025952
1619860765355983018,3.04003211316,0.865225691943,0.785356967863
1619860765358948945,3.05750087341,0.884222554668,0.794017285094
1619860765402981042,3.07542712673,0.900822423505,0.801853311787
1619860765442941904,3.10844459424,0.938208055789,0.821175613433
1619860765485961914,3.12686279891,0.957711856824,0.831198958894
1619860765486974954,3.14186205382,0.974940728498,0.839875039809
1619860765527018070,3.15837182514,0.992587372201,0.849469366552
1619860765537977933,3.17483561648,1.01212037864,0.859340276561
1619860765577979087,3.18998882394,1.03052844186,0.869160422518
1619860765621956110,3.22382029804,1.06780677152,0.887922715823
1619860765662966966,3.23967031435,1.08821664634,0.897405604892
