%time,field.x,field.y,field.theta
1620032196925352096,0.00411040504416,-0.000575499172743,0.014384992844
1620032196975397109,0.00413269700422,-0.000984340605713,0.0146710979107
1620032197023159980,0.00327707166453,-0.00100770933532,0.0146375558272
1620032197070103883,0.00282356128627,-0.00200889607165,0.0143555560387
1620032197071196079,0.00339573701951,-0.00150184148816,0.0144929499272
1620032197113318920,0.00421149902808,-0.000595653172147,0.0145496334907
1620032197157322883,0.00291052049453,-0.00169626688979,0.0144344224147
1620032197199232101,0.00417230243928,-0.00101048385511,0.0143651206677
1620032197242508888,0.00390468915348,-0.00210595896861,0.0146650383202
1620032197242609977,0.00337086383118,-0.00195233983929,0.0145495396524
1620032197284394025,0.00338164061066,-0.000532875524264,0.0146384796174
1620032197303245067,0.004905142916,-0.00140189950267,0.014600625782
1620032197348237991,0.00369472812868,-0.000902902915147,0.0147490865095
1620032197391429901,0.00321120254413,-0.000274594298506,0.0145407612306
1620032197439249038,0.00555129580298,-0.00106956801324,0.0148191906232
1620032197483323097,0.00357072017957,-0.000942772044624,0.0146386661881
1620032197527254104,0.0032167346807,-0.00221298108935,0.0146497876674
1620032197567276000,0.00449138677829,-0.00114340410868,0.014594383199
1620032197606338977,0.00338817630092,-0.00114515784302,0.0148206012186
1620032197623176097,0.00322278593265,-0.000615646087832,0.014753881083
1620032197668272972,0.00410560211003,-0.00201378245823,0.0144677194499
1620032197713330984,0.00342768050425,-0.00108690024381,0.0148383948378
1620032197716470956,0.00300327550607,1.35506627376e-05,0.0145776223334
1620032197759224891,0.00341734555924,-0.000616219241404,0.0147767366351
1620032197804368972,0.00320700404717,-0.00134651524975,0.0148390736489
1620032197850599050,0.00369830895666,-0.001473546606,0.0144248232548
1620032197895327091,0.00394186512061,-0.00219447153582,0.0146286630939
1620032197896261930,0.00409907721269,-0.00127822872493,0.01460649235
1620032197936229944,0.00330264160197,-0.00097370217397,0.0148169777851
1620032197980361938,0.00322416419391,-0.000289741344137,0.0145859190115
1620032198024247884,0.0028474129806,-0.000766262435533,0.0143523656128
1620032198067293882,0.00225391084367,-0.000738475249755,0.0144542204774
1620032198067397117,0.00442449821513,-0.00133525885582,0.0147688900673
1620032198115235090,0.00259020749635,-0.000119967243242,0.0145245454682
1620032198156327962,0.00369900186304,-0.0010309489843,0.0146172722681
1620032198200261116,0.00466086746732,-0.00108819746259,0.0145735859877
1620032198242270946,0.003107175072,-0.00129583164066,0.014689353784
1620032198251282930,0.00492099486993,-0.000577833697035,0.0147765817677
1620032198296300888,0.00353480813006,-0.000974506102704,0.0147076884851
1620032198339180946,0.00196536520404,3.51753029443e-07,0.0143980391313
1620032198385267019,0.00380883294933,-0.000534108370625,0.0146577118303
1620032198431252956,0.00330363510649,-0.00199392562618,0.0145359717867
1620032198475354909,0.00466772021959,-0.00240213470139,0.0148307921753
1620032198523256063,0.00216750141537,-0.000108537661801,0.0145961640202
1620032198525279998,0.00372497050312,0.000216922840111,0.0146202129096
1620032198563364982,0.00304718796911,-0.000337489359582,0.0146444216647
1620032198564259052,0.00366846718479,-0.000276579020916,0.0146456503638
1620032198601380109,0.00236843541661,-0.000642421878565,0.0143520188196
1620032198650368928,0.00383614854619,-0.00185591110718,0.0144785693748
1620032198652352094,0.00243125370149,-0.00079198980921,0.0146992360163
1620032198691277027,0.00356737511784,-0.0013166553026,0.0144327494063
