%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5

                           truex ,           truey,             purex,           purey,           ekfx,           ekfy
1619936958727289915,0,0.146250617821,0.0289881613713,0.198346320217,-0.000790150742343,-0.0906387935553,0.14647070149
1619936958776695013,0,0.195078650386,0.0164069676616,0.247241979491,-0.0135340730125,-0.0653436786903,0.137169378205
1619936958826489925,0,0.243743434395,0.00477646949792,0.29569243726,-0.0252368440082,-0.018810875703,0.123750258813
1619936958876260995,0,0.29252666898,-0.00600218160291,0.34451268775,-0.0361475091008,0.0277453717861,0.107787250569
1619936958929464101,0,0.341241144315,-0.0159181462856,0.393100500579,-0.0461870554223,0.100727191248,0.0889966927503
1619936958976332902,0,0.389948929347,-0.0248975508201,0.44176037313,-0.0552895232723,0.149692344614,0.0761491833633
1619936959026370048,0,0.438813607325,-0.0329355239658,0.490603168093,-0.0634567165994,0.173262396734,0.0703798792339
1619936959076504945,0,0.487818789757,-0.0400341377272,0.539635075751,-0.0706888354104,0.220739717904,0.0602445199877
1619936959127244949,0,0.536956503794,-0.0461888733547,0.588783746386,-0.0769718135739,0.26995655643,0.0502107772048
1619936959177264928,0,0.586222213388,-0.0514106076442,0.638027226806,-0.0823117550046,0.318376901108,0.0415533487608
1619936959233627080,0,0.635751569415,-0.0557121426134,0.688161113026,-0.0867798424417,0.39324210391,0.028335938653
1619936959276206970,0,0.685959536106,-0.0591023129206,0.738391891574,-0.0902853108682,0.441314398256,0.0219495299439
1619936959326304912,0,0.736432556322,-0.0615588487617,0.788946879959,-0.0928702850445,0.467050315453,0.0184282643106
1619936959377459049,0,0.786895861623,-0.0630916939487,0.839046035331,-0.0945100680354,0.517575815141,0.0137382080716
1619936959431551933,0,0.836929279181,-0.0637289429597,0.889027247526,-0.0952636139718,0.5663180933,0.00896133332415
1619936959477276086,0,0.886930074338,-0.0635390315805,0.93904935563,-0.0952043570195,0.597312563668,0.00585069026435
1619936959529470920,0,0.936926112579,-0.0625441119963,0.989021638445,-0.094340627369,0.64613612286,0.00198406827689
1619936959575345039,0,0.98679007571,-0.0607433379196,1.03865834365,-0.092682607334,0.722317844521,-9.96983311384e-05
1619936959626281023,0,1.03624826356,-0.0580673273028,1.08812664963,-0.0901192344736,0.77075417416,-0.00189274194302
1619936959676625967,0,1.0856360711,-0.0544407446487,1.13751629607,-0.0866056745391,0.821687350645,-0.00155897155479
1619936959728342056,0,1.13495155831,-0.0498695801196,1.18684501562,-0.0821406760985,0.873643471905,-0.00046210981478
1619936959777322053,0,1.18416885281,-0.0443614162791,1.23607412553,-0.0767296354907,0.920871237828,0.000914452658355
1619936959826565027,0,1.23327714243,-0.0379057569068,1.28522266056,-0.0703717598079,0.946931268605,0.00121303094396
1619936959876274108,0,1.28295226716,-0.0304074571571,1.33511370312,-0.0629453121276,1.01984203614,0.00664199849605
1619936959933274030,0,1.33272652494,-0.0219574395898,1.38500867352,-0.0545504854077,1.07052298416,0.0117370283087
1619936959977279901,0,1.38229789446,-0.0125759241031,1.43439503174,-0.0452972872607,1.11946653077,0.0181731098973
1619936960026424884,0,1.43113131473,-0.0024146726758,1.48340791704,-0.0352072559146,1.17214753195,0.0243614464296
1619936960079201936,0,1.47989961817,0.00858552864248,1.53223402423,-0.0243158064455,1.19853806952,0.0282120926142
1619936960128537893,0,1.52850146985,0.0203728303952,1.58084711468,-0.012645818174,1.24605695887,0.0360866035644
1619936960176265001,0,1.576900145,0.0329419377846,1.62925375611,-0.000197605004833,1.34423989457,0.0532405261416
1619936960227236986,0,1.62504685193,0.0462736749438,1.67720206457,0.0129612746961,1.36746440098,0.0593129477666
1619936960276227951,0,1.67258140275,0.060340541755,1.72474251927,0.0268660135026,1.41583995161,0.0694182619747
1619936960327531099,0,1.71979326399,0.0752846817518,1.77199852866,0.0416803879913,1.46738175188,0.079394933232
1619936960376209974,0,1.76671398523,0.0911257733726,1.81897055069,0.0574035236512,1.51336986728,0.0924575805141
1619936960426440954,0,1.81342492111,0.107906978151,1.86568326118,0.074043502694,1.53910626378,0.0985210933573
1619936960482539892,0,1.86048582345,0.125821662745,1.91297894084,0.0919091308181,1.63622723289,0.127825753291
1619936960526249885,0,1.90735011603,0.14465712541,1.95991900571,0.110655457002,1.65904986033,0.135689355598
1619936960577172994,0,1.95377018283,0.164328011555,2.00649458758,0.130251999892,1.70626138333,0.151630707026
1619936960626509904,0,1.99936857463,0.184617550595,2.05207318732,0.150388971593,1.75293026856,0.167426923051
1619936960677304983,0,2.04466218442,0.205706469641,2.09746925015,0.17138739042,1.79897786543,0.185777427265
1619936960726423025,0,2.08964388152,0.227543882832,2.14252867663,0.19311803084,1.82254529387,0.195011419289
1619936960782737016,0,2.13427124765,0.250103494407,2.18719302908,0.215553104725,1.89420347451,0.223215451652
1619936960829410076,0,2.17852557866,0.273380287032,2.23152646817,0.23872550759,1.93834987612,0.243610710858
1619936960876236915,0,2.2223955066,0.297366868721,2.27544812605,0.262592791058,1.98360633826,0.264764791533
1619936960926518917,0,2.26553519068,0.321898319279,2.31862885595,0.286967865211,2.0288784113,0.284168965849
1619936960976466894,0,2.30817404546,0.34720129448,2.36134065123,0.312151030638,2.0742141173,0.307211627608
1619936961026319026,0,2.35033732887,0.373311315482,2.40363655571,0.338173313827,2.09548027481,0.318205088672
1619936961076642990,0,2.39268879019,0.400618886568,2.44623323512,0.365492329642,2.16206223513,0.353072515732
1619936961126275062,0,2.43465994652,0.428808096071,2.48829853325,0.393576705849,2.21013638559,0.381369249853
1619936961177387952,0,2.47604628602,0.457699492117,2.52922830564,0.421982498415,2.25366953682,0.405277751492
1619936961226500034,0,2.51651556895,0.487016457708,2.5697000176,0.451113328113,2.29748339656,0.43203062538
1619936961276273012,0,2.55642368884,0.516981171131,2.60976137683,0.480994418833,2.31694487499,0.445480696592
1619936961326273918,0,2.59590789576,0.547662226547,2.64936225001,0.511539900013,2.35999315209,0.471250889584
1619936961381462097,0,2.63489344292,0.578976546445,2.68844305671,0.542702638915,2.44213432507,0.528703164611
1619936961430470943,0,2.6733666581,0.610916240865,2.72704447807,0.574514682131,2.46257137681,0.543404640796
1619936961477349996,0,2.71132357941,0.643471317465,2.76510086425,0.606921664951,2.48374619194,0.559269777337
1619936961525552034,0,2.74874751051,0.676629864638,2.80264818286,0.639954484393,2.54147940714,0.603315476872
1619936961576335906,0,2.78551286094,0.710285742732,2.83953888091,0.673486681854,2.58037795209,0.636195174317
1619936961627393007,0,2.82178357834,0.744647230877,2.87635852857,0.708120196053,2.61957622266,0.665834709044
